IPO Name,Listing Date,Allotment Price (INR),Listing Return (%),IPO Price,Listing Returns (%),1 Week Returns (%),4 Week Returns (%),6 Week Returns (%),IPO Price (INR),IPO Company
,12/15/2017,,,248,-3.4,-11.7,-4.2,-2.9,,Shalby
,05/29/2017,,,210,-5.0,4.7,24.1,38.6,,PSP Projects
,11/13/2017,,,770,-5.6,-13.2,-24.7,-20.4,,New India Assurance*
,08/10/2017,,,815,-7.1,0.0,-4.7,-4.9,,SIS India
,11/14/2017,,,750,-8.2,-8.0,-10.8,-11.9,,Khadim India
,03/31/2017,,,502,-15.9,-23.1,-9.0,-10.6,,CL Educate
,01/06/2016,,,250,34.7,29.9,28.2,16.0,,Narayana Hrudayalaya
,02/08/2016,,,186,-4.5,-13.8,-14.5,-20.0,,Precision Camshafts
,02/12/2016,,,850,20.3,35.3,15.2,3.7,,TeamLease Services
,02/18/2016,,,321,-20.9,-33.7,-26.6,-32.1,,Quick Heal
,03/30/2016,,,218,-21.5,-16.5,-15.5,-19.1,,HealthCare Global
,04/01/2016,,,45,1.2,-2.0,-9.6,-2.3,,Bharat Wire Ropes
,04/04/2016,,,432,3.1,3.7,20.2,17.5,,Infibeam
,04/21/2016,,,110,22.9,26.1,34.9,51.8,,Equitas Holdings
,05/09/2016,,,446,38.7,41.2,33.5,27.9,,Thyrocare Technologies
,05/10/2016,,,210,10.2,23.8,68.9,76.4,,Ujjivan Financial Services
,05/19/2016,,,203,21.6,16.7,26.4,36.9,,Parag Milk Foods*
,07/01/2016,,,421,23.5,19.3,20.8,27.5,,Mahanagar Gas
,07/12/2016,,,317,58.7,56.1,68.9,74.6,,Quess Corp
,07/21/2016,,,710,-0.3,-2.8,-3.5,-7.7,,L&T Infotech*
,08/01/2016,,,896,31.4,63.3,44.8,60.2,,Advanced Enzymes
,08/11/2016,,,219,14.9,10.5,8.0,8.9,,Dilip Buildcon
,08/12/2016,,,268,7.7,12.2,27.3,30.5,,SP Apparels
,08/31/2016,,,225,33.0,35.1,32.2,36.1,,RBL Bank
